species	segmented
Lessievirus bcepil02	no
Nyavirus midwayense	no
Nyavirus nyamaniniense	no
Suakwa aphid-borne yellows virus	no
St-Valerien swine virus	no
Sweet potato badnavirus B	no
Penguinpox virus	no
Lammi virus	no
Clerodendrum golden mosaic Jiangsu virus	no
Heterocapsa circularisquama DNA virus 01	no
Human papillomavirus type 85	no
Gossypium darwinii symptomless alphasatellite	no
Gossypium davidsonii symptomless alphasatellite	no
Carrot yellow leaf virus	no
Cyanophage PSS2	no
Chilli leaf curl Multan alphasatellite	no
Radish leaf curl betasatellite	no
Enterococcus phage phiEf11	no
Drosophila melanogaster totivirus SW-2009a	no
Backyardiganvirus peaches	no
Kostyavirus pumpkin	no
Skunavirus CB13	no
Skunavirus CB14	no
Skunavirus CB19	no
Vernonia yellow vein betasatellite	no
Butterbur mosaic virus	no
Nakiwogo virus	no
Leucas zeylanica yellow vein virus satellite DNA beta	no
Xylella phage Xfas53	no
Pelargonium vein banding virus	no
Clostridium phage phiCP26F	no
Enterococcus phage phiFL4A	no
Kalanchoe mosaic virus	no
Trichomonas vaginalis virus 2	no
Aurantiochytrium single-stranded RNA virus 01	no
Plum bark necrosis stem pitting-associated virus	no
Helicobasidium mompa alphaendornavirus 1	no
Brussowvirus ALQ132	no
Mamastrovirus 8	no
HMO Astrovirus A	no
Astrovirus MLB2	no
Astrovirus VA3	no
Saccharum streak virus	no
Aggregatibacter phage S1249	no
Mycobacterium virus Ardmore	no
Papaya lethal yellowing virus	no
Sapelovirus A	no
Sapelovirus B	no
Torque teno virus 8	no
Torque teno virus 11	no
Torque teno virus 12	no
Torque teno virus 16	no
Torque teno virus 22	no
Torque teno virus 23	no
Torque teno virus 27	no
Torque teno virus 28	no
Torque teno sus virus 1b	no
Fusarium graminearum dsRNA mycovirus-3	no
Avihepatovirus A	no
Raptor siadenovirus A	no
Rhodococcus phage ReqiPine5	no
Rhodococcus phage ReqiDocB7	no
Falcon aviadenovirus A	no
Bovine rhinitis B virus	no
Sulfolobus spindle-shaped virus 6	no
Sulfolobus spindle-shaped virus 7	no
Acidianus spindle-shaped virus 1	no
Tomato yellow leaf curl Thailand betasatellite	no
Alphacoronavirus 1	no
Rhinolophus bat coronavirus HKU2	no
Scotophilus bat coronavirus 512	no
Miniopterus bat coronavirus 1	no
Miniopterus bat coronavirus HKU8	no
Betacoronavirus 1	no
Murine coronavirus	no
Rousettus bat coronavirus HKU9	no
Tylonycteris bat coronavirus HKU4	no
Pipistrellus bat coronavirus HKU5	no
Severe acute respiratory syndrome-related coronavirus	no
Avian coronavirus	no
Beluga whale coronavirus SW1	no
Marseillevirus marseillevirus	no
Ostreococcus tauri virus 2	no
Murine mastadenovirus C	no
Sprivivirus cyprinus	no
Citrus viroid VI	no
Thermus phage TMA	no
Vibrio phage SIO-2	no
Aeropyrum pernix bacilliform virus 1	no
Cecivirus cv250	no
Chelonid alphaherpesvirus 6	no
Japanese eel endothelial cells-infecting virus	no
Croton yellow vein mosaic alphasatellite	no
Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite	no
Cotton leaf curl Burewala alphasatellite	no
Cotton leaf curl Burewala betasatellite	no
Salmonella phage ST160	no
Papaya leaf curl betasatellite	no
Sunflower mild mosaic virus	no
Lagenaria mild mosaic virus	no
Porcine circovirus type 1/2a	no
Firehammervirus CP220	no
Firehammervirus CPt10	no
Simian retrovirus 4	no
Malvastrum yellow mosaic Cameroon alphasatellite	no
Okra yellow crinkle Cameroon alphasatellite	no
Ageratum leaf curl Cameroon alphasatellite	no
Tomato leaf curl Cameroon alphasatellite	no
Lyssavirus shimoni	no
Guar leaf curl alphasatellite	no
Deep-sea thermophilic phage D6E	no
Synechococcus phage S-CBS2	no
Synechococcus phage S-CBS3	no
Sulfolobus turreted icosahedral virus 2	no
Sulfitobacter phage pCB2047-C	no
Sulfitobacter phage pCB2047-A	no
Psychrobacter phage pOW20-A	no
Vibrio phage pYD21-A	no
Paenibacillus phage PG1	no
Rhodobacter phage RC1	no
Rhodovulum phage RS1	no
Vibrio phage PWH3a-P1	no
Ostreococcus lucimarinus virus OlV5	no
Salicola phage CGphi29	no
Dunaliella viridis virus SI2	no
Tetraselmis viridis virus S20	no
Vibrio phage VBM1	no
Vibrio phage 11895-B1	no
Micromonas pusilla virus 12T	no
Synechococcus phage S-CBS4	no
Cellulophaga phage phiSM	no
Tetraselmis viridis virus S1	no
Okra leaf curl betasatellite	no
Rubber viroid India/2009	no
Bhendi yellow vein mosaic alphasatellite	no
Acinetobacter phage Ac42	no
Hyperthermophilic Archaeal Virus 1	no
Hyperthermophilic Archaeal Virus 2	no
Brochothrix phage NF5	no
Brochothrix phage BL3	no
Enterococcus phage EFRM31	no
Elephant endotheliotropic herpesvirus 5	no
Panax virus Y	no
Nerine latent virus	no
Arabis mosaic virus small satellite RNA barley/CHE/1991	no
Tomato golden leaf distortion virus	no
Turnip curly top virus	no
Anayavirus angelica	no
Anayavirus crimD	no
Mycobacterium virus Bron	no
Cyrtanthus elatus virus A	no
Spissistilus festinus virus 1	no
Circulifer tenellus virus 1	no
Clostridium phage phiCD6356	no
Bat coronavirus BM48-31/BGR/2008	no
Clostridium phage phiCTP1	no
Dubowvirus SAP26	no
Spinach severe curly top virus	no
Rose leaf curl betasatellite	no
Enterobacteria phage UAB_Phi20	no
Pseudoalteromonas phage H105/1	no
Micromonas sp. RCC1109 virus MpV1	no
Ostreococcus lucimarinus virus 1	no
Tomato leaf curl Bangladesh betasatellite	no
Chickpea redleaf virus	no
Digitaria didactyla striate mosaic virus	no
Cyanophage KBS-S-2A	no
Cyanophage MED4-117	no
Prochlorococcus phage MED4-184	no
Tobacco leaf curl PUSA alphasatellite	no
Duck astrovirus GII.A	no
Avastrovirus 3	no
Escherichia phage HK639	no
Bhendi yellow vein India betasatellite	no
Okra enation leaf curl betasatellite	no
Grapevine associated narnavirus-1	no
Synechococcus phage S-CBS1	no
Pepper vein yellows virus	no
Ageratum leaf curl Buea betasatellite	no
Piscine myocarditis virus AL V-708	no
Microviridae phi-CA82	no
Ageratum yellow vein Singapore alphasatellite	no
Erwinia phage phiEt88	no
Roseovarius Plymouth podovirus 1	no
Tobacco curly shoot alphasatellite	no
Tuber aestivum virus 1	no
Microwolfvirus wonder	no
Pigeon picornavirus B	no
Tomato leaf curl Togo betasatellite-[Togo:2006]	no
Cyanophage P-RSM6	no
Rhizobium phage RR1-A	no
Rhizobium phage RR1-B	no
Vibrio phage pYD38-B	no
Sweet potato virus C	no
Chickpea chlorosis virus	no
Alphapapillomavirus 14	no
Bathycoccus sp. RCC1105 virus BpV	no
Fletchervirus NCTC12673	no
Bromus catharticus striate mosaic virus	no
Riemerella phage RAP44	no
Cordyline virus 1	no
Casadabanvirus PA1KOR	no
Tomato leaf curl Ranchi betasatellite	no
Tolypocladium cylindrosporum virus 1	no
Carnation yellow fleck virus	no
Bacillus phage SP-10	no
Tuber aestivum betaendornavirus	no
Liberibacter phage SC1	no
Liberibacter phage SC2	no
Cyclovirus PKgoat21/PAK/2009	no
Ageratum conyzoides associated symptomless alphasatellite	no
Hollyhock yellow vein virus associated symptomless alphasatellite	no
Spinach curly top Arizona virus	no
Verbesina encelioides leaf curl alphasatellite	no
Tamarillo leaf malformation virus	no
Mosquito densovirus BR/07	no
Ugandan cassava brown streak virus	no
Lactobacillus phage Sha1	no
Puniceispirillum phage HMO-2011	no
Enterococcus phage EF62phi	no
Tequintavirus SPC35	no
Tsukamurella phage TPA2	no
Cronobacter phage ENT39118	no
Cronobacter phage ENT47670	no
Donggang virus	no
Fletchervirus CP81	no
Seal anellovirus TFFN/USA/2006	no
Planktothrix phage PaV-LD	no
Lausannevirus	no
Vernonia yellow vein Fujian virus	no
Tunavirus Shfl1	no
Vibrio phage qdvp001	no
Hardenbergia virus A	no
Chivirus iEPS5	no
Rhodococcus phage E3	no
Trichomonas vaginalis virus 4	no
Banana streak CA virus	no
Synechococcus phage S-CRM01	no
Bovine astrovirus B170/HK	no
Bovine astrovirus B18/HK	no
Bovine astrovirus B76-2/HK	no
Bovine astrovirus B76/HK	no
Farmington virus	no
Switchgrass mosaic virus	no
Asclepias asymptomatic virus	no
Macrobrachium rosenbergii Taihu virus	no
Eragrostis minor streak virus	no
Caper latent virus	no
Passion fruit mosaic virus	no
Aeropyrum pernix spindle-shaped virus 1	no
Aeropyrum pernix ovoid virus 1	no
Chenopodium leaf curl virus	no
Veracruzvirus heldan	no
Omegavirus optimus	no
Omegavirus baka	no
Kostyavirus bask21	no
Mycobacterium virus Dlane	no
Gladiatorvirus hammer	no
Mycobacterium virus Ibhubesi	no
Fromanvirus JC27	no
Fromanvirus kssjeb	no
Fromanvirus lesedi	no
Omegavirus littlee	no
Mycobacterium virus Mozy	no
Fromanvirus museum	no
Keshuvirus pixie	no
Fromanvirus george	no
Gladiatorvirus gladiator	no
Microwolfvirus JHC117	no
Mycobacterium virus JoeDirt	no
Microwolfvirus microwolf	no
Fromanvirus packman	no
Mycobacterium virus RockyHorror	no
Mycobacterium phage Vortex	no
Avanivirus yoshi	no
Anayavirus anaya	no
Socyvirus heteroderae	no
Mosquito VEM virus SDRBAJ	no
Bdellovibrio phage phi1402	no
Fromanvirus mrgordo	no
Mycobacterium virus Mutaforma13	no
Datura leaf curl virus	no
Gladiatorvirus ericB	no
Lake Sinai virus 1	no
Lake Sinai virus 2	no
Big Sioux River virus	no
Clostridium phage phiCP13O	no
Clostridium phage phiCP34O	no
Blackberry virus E	no
Potato virus H	no
Rose yellow mosaic virus	no
Cotton leaf curl Multan alphasatellite	no
Fromanvirus doom	no
Fromanvirus euphoria	no
Anayavirus JAWS	no
Streptococcus phage YMC-2011	no
Grapevine Pinot gris virus	no
Beauveria bassiana RNA virus 1	no
Kratiovirus larva	no
Mycobacterium phage Wile	no
Helicobacter phage phiHP33	no
Mycobacterium phage Lilac	no
Psychrobacter phage Psymv2	no
Benedictvirus cuco	no
Mycobacterium virus GUmbie	no
Lyssavirus bokeloh	no
Blue squill virus A	no
Paspalum striate mosaic virus	no
Kyungwonvirus Esp29491	no
uncultured phage WW-nAnB	no
Mouse astrovirus M-52/USA/2008	no
Mycobacterium virus Drago	no
Mycobacterium virus Liefie	no
Kostyavirus eureka	no
Sclerotinia sclerotiorum hypovirus 1	no
Bat picornavirus 1	no
Bat picornavirus 2	no
Bat picornavirus 3	no
Fromanvirus perseus	no
Yokapox virus	no
Mycobacterium phage AnnaL29	no
Phytophthora infestans RNA virus 4	no
Soybean yellow common mosaic virus	no
Keunjorong mosaic virus	no
Tamus red mosaic virus	no
Donellivirus gee	no
Aspergillus foetidus slow virus 1	no
Halastavi arva RNA virus	no
Mycobacterium phage Akoma	no
Fromanvirus alma	no
Brujitavirus babsiella	no
Fromanvirus billknuckles	no
Fromanvirus bruns	no
Omegavirus courthouse	no
Mycobacterium virus DeadP	no
Mycobacterium phage Dori	no
Gladiatorvirus jeffabunny	no
Fromanvirus kugel	no
Backyardiganvirus LHTSCC	no
Mycobacterium virus SG4	no
Corndogvirus firecracker	no
Quail picornavirus QPV1/HUN/2010	no
Enterobacteria phage IME10	no
Limestonevirus limestone	no
Casadabanvirus LPB1	no
Cucumber vein-clearing virus	no
Casadabanvirus FHA0480	no
Mirabilis jalapa mottle virus	no
Lily virus Y	no
Porcine astrovirus 5	no
Webervirus F20	no
Mycobacterium virus DotProduct	no
Fromanvirus saintus	no
Apis mellifera filamentous virus	no
Bacteroides phage B124-14	no
Rhodobacter phage RcapMu	no
Porcine astrovirus 2	no
Porcine astrovirus 4	no
Posavirus 1	no
Posavirus 2	no
Po-Circo-like virus 41	no
Po-Circo-like virus 51	no
Coetzeevirus cIP1	no
Feline picornavirus	no
Felipivirus A	no
Nocardia phage NBR1	no
Rhodococcus phage REQ1	no
Rhodococcus phage REQ2	no
Rhodococcus phage REQ3	no
Rerduovirus RGL3	no
Rhodococcus phage RRH1	no
Fletchervirus CPX	no
Tequintavirus AKFV33	no
Papaya leaf curl alphasatellite	no
Actinidia virus A	no
Actinidia virus B	no
Pig stool associated circular ssDNA virus GER2011	no
Thermococcus prieurii virus 1	no
Rattail cactus necrosis-associated virus	no
Sulfolobus virus STSV2	no
Escherichia phage TL-2011b	no
Pseudomonas phage OBP	no
Hanko virus	no
Thermoanaerobacterium phage THSA-485A	no
Salmonella phage SPN9CC	no
Bdellovibrio phage phi1422	no
Pectobacterium phage ZF40	no
Vibrio phage vB_VchM-138	no
Meles meles circovirus-like virus	no
Parrot hepatitis B virus	no
Clitoria yellow mottle virus	no
Moumouvirus maliensis	no
Moumouvirus moumou	no
Mimivirus terra2	no
Pseudomonas phage phi297	no
Detrevirus PMG1	no
Persea americana alphaendornavirus 1	no
Phytophthora infestans RNA virus 3	no
Porcine bocavirus 5	no
Artemisia virus A	no
Lessievirus DC1	no
Astrovirus wild boar/WBAstV-1/2011/HUN	no
Chivirus SPN19	no
Murine astrovirus	no
Snake atadenovirus A	no
Murine mastadenovirus B	no
Bat mastadenovirus B	no
Turkey aviadenovirus B	no
Great tit siadenovirus A	no
Bat mastadenovirus A	no
Staphylococcus phage StB12	no
Staphylococcus phage StB20	no
Staphylococcus phage StB27	no
Clostridium phage phi8074-B1	no
Salmonella phage SPN3UB	no
Enterobacteria phage HK225	no
Enterobacteria phage mEp237	no
Enterobacteria phage mEp460	no
Enterobacteria phage mEp390	no
Rosellinia necatrix victorivirus 1	no
New World begomovirus associated satellite DNA	no
Gentian Kobu-sho-associated virus	no
Sphingomonas phage PAU	no
Bovine rhinitis A virus	no
Canine astrovirus	no
Aeropyrum coil-shaped virus	no
Southern elephant seal virus	no
Common moorhen coronavirus HKU21	no
Magpie-robin coronavirus HKU18	no
Night heron coronavirus HKU19	no
Sparrow coronavirus HKU17	no
White-eye coronavirus HKU16	no
Wigeon coronavirus HKU20	no
Rabbit coronavirus HKU14	no
Rabbit astrovirus TN/2208/2010	no
Pseudomonas phage MP42	no
Weissella phage phiYS61	no
Pseudomonas phage Lu11	no
Chickpea yellows virus	no
Tianjin totivirus	no
Skunavirus ASCC191	no
Skunavirus ASCC273	no
Skunavirus ASCC281	no
Skunavirus ASCC465	no
Skunavirus ASCC532	no
Porcine bocavirus	no
Xanthophyllomyces dendrorhous virus L1A	no
Xanthophyllomyces dendrorhous virus L1B	no
Cronobacter phage phiES15	no
Vibrio phage VvAW1	no
Acartia tonsa copepod circovirus	no
Salmonella phage vB_SemP_Emek	no
Salmonella phage vB_SosS_Oslo	no
Avanivirus avani	no
Staphylococcus phage TEM123	no
Wasabi mottle virus	no
Loreto virus	no
Negev virus	no
Piura virus	no
Betapapillomavirus 6	no
Halocynthia phage JM-2012	no
Labidocera aestiva circovirus	no
Tlsvirus SP126	no
Chivirus FSLSP030	no
Chivirus FSLSP088	no
Wheat dwarf India virus	no
Ageratum leaf curl betasatellite	no
Pseudomonas phage PaMx42	no
Gammapapillomavirus 6	no
Gammapapillomavirus 7	no
Gammapapillomavirus 8	no
Gammapapillomavirus 9	no
Gammapapillomavirus 10	no
Deltapapillomavirus 5	no
Lambdapapillomavirus 3	no
Lambdapapillomavirus 4	no
Pipapillomavirus 2	no
Rhopapillomavirus 1	no
Sigmapapillomavirus 1	no
Taupapillomavirus 1	no
Upsilonpapillomavirus 2	no
Upsilonpapillomavirus 1	no
Tomato necrotic stunt virus	no
Tomato leaf curl Yemen betasatellite	no
Croceibacter phage P2559S	no
Marinomonas phage P12026	no
Canine vesivirus	no
Pitaya virus X	no
American hop latent virus	no
Salmonella phage SSU5	no
Cordyline virus 2	no
Cordyline virus 3	no
Cordyline virus 4	no
Phipapillomavirus 1	no
Chipapillomavirus 1	no
Chipapillomavirus 2	no
Psipapillomavirus 1	no
Omegapapillomavirus 1	no
Dyodeltapapillomavirus 1	no
Dyoepsilonpapillomavirus 1	no
Dyozetapapillomavirus 1	no
Dyoetapapillomavirus 1	no
Mythimna separata entomopoxvirus	no
Sclerotinia sclerotiorum dsRNA mycovirus-L	no
Maize streak Reunion virus	no
Salisaeta icosahedral phage 1	no
Bat sapovirus TLC58/HK	no
Clostridium phage PhiS63	no
Phaseolus vulgaris alphaendornavirus 1	no
Phaseolus vulgaris alphaendornavirus 2	no
Klementvirus CP1	no
Xanthomonas citri phage CP2	no
Peristrophe mosaic virus	no
Cuban alphasatellite 1	no
Firehammervirus CP21	no
Goose aviadenovirus A	no
Fromanvirus nepal	no
Keshuvirus macncheese	no
Lessievirus bcepmigl	no
Fromanvirus astro	no
Cronobacter phage CR5	no
Paspalum dilatatum striate mosaic virus	no
Digitaria ciliaris striate mosaic virus	no
Rockefellervirus IPLA5	no
Rockefellervirus IPLA7	no
Donkey orchid virus A	no
Caladenia virus A	no
Honeysuckle yellow vein mosaic betasatellite	no
Citrus chlorotic dwarf associated virus	no
Streptomyces phage SV1	no
Shapirovirus cbk	no
Silviavirus SA11	no
Lactobacillus phage phiAQ113	no
Blueberry virus A	no
Deltapolyomavirus decihominis	no
Porcine partetravirus	no
Fromanvirus goose	no
Fromanvirus marcell	no
Apple green crinkle associated virus	no
Persimmon latent virus	no
Caulobacter virus Karma	no
Caulobacter virus Magneto	no
Shapirovirus swift	no
Tobacco leaf chlorosis betasatellite	no
Citrus yellow vein clearing virus	no
French bean severe leaf curl virus	no
Pokeweed mosaic virus	no
Rhizobium phage RHEph10	no
Grapevine virus F	no
Bat polyomavirus	no
Pseudomonas phage JBD24	no
Pseudomonas phage JBD30	no
Pseudomonas phage JBD5	no
Nepavirus	no
Picalivirus A	no
Bhendi yellow vein mosaic virus-associated alphasatellite	no
Enterobacteria phage SfI	no
Pseudomonas phage JBD25	no
Coetzeevirus ATCC8014	no
Mycobacterium virus Dorothy	no
Fromanvirus rebeuca	no
Malakal virus	no
Baminivirus	no
Niminivirus	no
Acinetobacter phage phiAC-1	no
Cassava mosaic Madagascar alphasatellite	no
Tomato leaf curl Hajipur betasatellite	no
Eilat virus	no
Dyoiotapapillomavirus 1	no
Human cosavirus	no
Vibrio phage VPMS1	no
Sauropus leaf curl disease associated DNA beta	no
Dragonfly circularisvirus	no
Dragonfly orbiculatusvirus	no
Dragonfly cyclicusvirus	no
Dragonfly-associated microphage 1	no
Dyothetapapillomavirus 1	no
Pseudomonas phage AF	no
Culex originated Tymoviridae-like virus	no
Alphapolyomavirus apaniscus	no
Betapolyomavirus calbifrons	no
Betapolyomavirus cercopitheci	no
Pan troglodytes troglodytes polyomavirus 1	no
Alphapolyomavirus pibadius	no
Alphapolyomavirus ponpygmaeus	no
Lwoffvirus BMBtp2	no
Streptococcus phage phiNJ2	no
Brugmansia mosaic virus	no
Mamastrovirus 1	no
Mamastrovirus 2	no
Mamastrovirus 3	no
Mamastrovirus 4	no
Mamastrovirus 5	no
Mamastrovirus 7	no
Mamastrovirus 9	no
Mamastrovirus 10	no
Mamastrovirus 11	no
Mamastrovirus 12	no
Mamastrovirus 13	no
Mamastrovirus 14	no
Mamastrovirus 15	no
Mamastrovirus 16	no
Mamastrovirus 17	no
Mamastrovirus 18	no
Mamastrovirus 19	no
Porcine parvovirus 5	no
Rubus canadensis virus 1	no
Bat coronavirus HKU10	no
Culex theileri flavivirus	no
Ochlerotatus caspius flavivirus	no
Mycobacterium phage First	no
Dhillonvirus JL1	no
Mexirudivirus SMRV1	no
Malvastrum yellow vein Chitwan betasatellite	no
Astrovirus VA4	no
Astrovirus MLB3	no
Diuris virus A	no
Diuris virus B	no
Okra enation leaf curl alphasatellite	no
Dragonfly-associated mastrevirus	no
Grapevine endophyte alphaendornavirus	no
Sunflower leaf curl Karnataka alphasatellite	no
Olive viral satellite RNA	no
Nanay virus	no
Porcine astrovirus 3	no
Tunisvirus	no
Tomato yellow leaf curl China betasatellite	no
Perhabdovirus perca	no
Perhabdovirus leman	no
Ageratum enation alphasatellite	no
Leuconostoc phage phiLNTR2	no
Ferret coronavirus	no
Kenaf leaf curl betasatellite	no
Hollowayvirus H66	no
Synechococcus phage S-CBP1	no
Andromedavirus andromeda	no
Andromedavirus curly	no
Andromedavirus eoghan	no
Andromedavirus finn	no
Andromedavirus taylor	no
Halovirus HCTV-5	no
Chaerephon polyomavirus 1	no
Dahlia latent viroid	no
Pseudomonas phage PPpW-3	no
Rodent hepacivirus	no
Hepacivirus peromysci	no
Hepacivirus ratti	no
Equine hepacivirus	no
Cyanoramphus nest associated circular X DNA virus	no
Cyanoramphus nest associated circular K DNA virus	no
Serratia phage Eta	no
Pelagibacter phage HTVC008M	no
Pelagibacter phage HTVC010P	no
Nile crocodilepox virus	no
Nienokoue virus	no
Acheta domesticus volvovirus	no
Sida yellow vein China alphasatellite	no
Gastropod associated circular ssDNA virus	no
Corchorus yellow vein mosaic betasatellite	no
Munia coronavirus HKU13	no
Citrus yellow vein-associated virus	no
